,type,id,attributes.adjusted_odds,attributes.board_time,attributes.custom_image,attributes.description,attributes.end_time,attributes.flash_sale_line_score,attributes.game_id,attributes.hr_20,attributes.in_game,attributes.is_live,attributes.is_promo,attributes.line_score,attributes.odds_type,attributes.projection_type,attributes.rank,attributes.refundable,attributes.start_time,attributes.stat_display_name,attributes.stat_type,attributes.status,attributes.today,attributes.tv_channel,attributes.updated_at,relationships.duration.data.type,relationships.duration.data.id,relationships.game.data.type,relationships.game.data.id,relationships.league.data.type,relationships.league.data.id,relationships.new_player.data.type,relationships.new_player.data.id,relationships.projection_type.data.type,relationships.projection_type.data.id,relationships.score.data,relationships.stat_type.data.type,relationships.stat_type.data.id,relationships.stat_average.data.type,relationships.stat_average.data.id,attributes.trending_count,type_new_player,id_new_player,attributes.combo,attributes.display_name,attributes.image_url,attributes.league,attributes.league_id,attributes.name,attributes.position,attributes.team,relationships.league.data.type_new_player,relationships.league.data.id_new_player,relationships.team_data.data.type,relationships.team_data.data.id
0,projection,3969540,,2025-02-01T10:40:00-05:00,,HOU/SAS,,,NBA_game_qDVupoDoK6WagzWgRtGgs5e2,True,False,False,False,47.0,standard,Single Stat,33,True,2025-02-26T21:40:00-05:00,Points (Combo),Points (Combo),pre_game,True,,2025-02-26T10:55:01-05:00,duration,11,game,49656,league,7,new_player,175779,projection_type,2,,stat_type,425,,,,new_player,175779,True,De'Aaron Fox + Jalen Green,https://static.prizepicks.com/images/manual/De'Aaron Fox + Jalen Green.png,NBA,7.0,De'Aaron Fox + Jalen Green,G,SAS/HOU,league,7,team,25517
1,projection,3969541,,2025-02-01T10:40:00-05:00,,HOU/SAS,,,NBA_game_qDVupoDoK6WagzWgRtGgs5e2,True,False,False,False,17.5,standard,Single Stat,34,True,2025-02-26T21:40:00-05:00,Rebounds (Combo),Rebounds (Combo),pre_game,True,,2025-02-26T11:32:53-05:00,duration,11,game,49656,league,7,new_player,229575,projection_type,2,,stat_type,427,,,,new_player,229575,True,Jeremy Sochan + Alperen Sengun,https://static.prizepicks.com/images/manual/Jeremy Sochan + Alperen Sengun.png,NBA,7.0,Jeremy Sochan + Alperen Sengun,F/C,SAS/HOU,league,7,team,29109
2,projection,3969543,,2025-02-01T10:40:00-05:00,,HOU/SAS,,,NBA_game_qDVupoDoK6WagzWgRtGgs5e2,True,False,False,False,5.5,standard,Single Stat,36,True,2025-02-26T21:40:00-05:00,3-PT Made (Combo),3-PT Made (Combo),pre_game,True,,2025-02-26T10:49:22-05:00,duration,11,game,49656,league,7,new_player,229576,projection_type,2,,stat_type,428,,,,new_player,229576,True,Devin Vassell + Jalen Green,https://static.prizepicks.com/images/manual/Devin Vassell + Jalen Green.png,NBA,7.0,Devin Vassell + Jalen Green,G,SAS/HOU,league,7,team,29109
3,projection,3976738,,2025-02-25T21:00:00-05:00,,UTA,,,NBA_game_oYV5aUYgDSlqsHlncW6qWCbY,True,False,False,False,3.5,standard,Single Stat,63,True,2025-02-26T21:10:00-05:00,Points,Points,pre_game,True,,2025-02-26T18:47:40-05:00,duration,11,game,49655,league,7,new_player,229660,projection_type,2,,stat_type,19,stat_average,126986,,new_player,229660,False,Jake LaRavia,https://static.prizepicks.com/images/players/NBA/Jake_LaRavia_NBA_player_UfILsUddZdj0bZ7BuLRiZ2SU.webp,NBA,7.0,Jake LaRavia,F,SAC,league,7,team,199
4,projection,3976313,True,2025-02-26T17:10:00-05:00,,LAC,,,NBA_game_wS8zkOoh5WTUcOggDnO30G2R,True,False,False,False,1.5,goblin,Single Stat,325,True,2025-02-26T20:10:00-05:00,Turnovers,Turnovers,pre_game,True,,2025-02-26T18:36:44-05:00,duration,11,game,49654,league,7,new_player,53984,projection_type,2,,stat_type,24,stat_average,99950,,new_player,53984,False,Lonzo Ball,https://static.prizepicks.com/images/players/NBA/Lonzo_Ball_NBA_player_WuGQWAP0ugIEHqNusLiioIE4.webp,NBA,7.0,Lonzo Ball,G,CHI,league,7,team,204
5,projection,3976312,True,2025-02-26T17:10:00-05:00,,LAC,,,NBA_game_wS8zkOoh5WTUcOggDnO30G2R,True,False,False,False,1.5,demon,Single Stat,325,True,2025-02-26T20:10:00-05:00,Turnovers,Turnovers,pre_game,True,,2025-02-26T18:36:44-05:00,duration,11,game,49654,league,7,new_player,227985,projection_type,2,,stat_type,24,stat_average,126144,,new_player,227985,False,Kevin Huerter,https://static.prizepicks.com/images/players/NBA/Kevin_Huerter_NBA_player_h3yhsUoGdipKeVMfIgE8Cwm8.webp,NBA,7.0,Kevin Huerter,G-F,CHI,league,7,team,204
6,projection,3969035,,2025-02-25T02:20:00-05:00,,CHI,,,NBA_game_wS8zkOoh5WTUcOggDnO30G2R,True,False,False,False,29.5,standard,Single Stat,350,True,2025-02-26T20:10:00-05:00,Pts+Rebs,Pts+Rebs,pre_game,True,,2025-02-26T11:15:39-05:00,duration,11,game,49654,league,7,new_player,3828,projection_type,2,,stat_type,243,stat_average,76505,,new_player,3828,False,Ivica Zubac,https://static.prizepicks.com/images/players/NBA/Ivica_Zubac_NBA_player_D6haTAv55SBuJmZtk3fQqBHe.webp,NBA,7.0,Ivica Zubac,C,LAC,league,7,team,214
7,projection,3968913,,2025-02-25T02:20:00-05:00,,CHI,,,NBA_game_wS8zkOoh5WTUcOggDnO30G2R,True,False,False,False,16.5,standard,Single Stat,350,True,2025-02-26T20:10:00-05:00,Points,Points,pre_game,True,,2025-02-26T19:38:50-05:00,duration,11,game,49654,league,7,new_player,3828,projection_type,2,,stat_type,19,stat_average,76393,,new_player,3828,False,Ivica Zubac,https://static.prizepicks.com/images/players/NBA/Ivica_Zubac_NBA_player_D6haTAv55SBuJmZtk3fQqBHe.webp,NBA,7.0,Ivica Zubac,C,LAC,league,7,team,214
8,projection,3975325,,2025-02-25T14:57:00-05:00,,CHI,,,NBA_game_wS8zkOoh5WTUcOggDnO30G2R,True,False,False,False,7.0,standard,Single Stat,350,True,2025-02-26T20:10:00-05:00,FG Made,FG Made,pre_game,True,,2025-02-26T15:00:37-05:00,duration,11,game,49654,league,7,new_player,3828,projection_type,2,,stat_type,117,stat_average,95397,,new_player,3828,False,Ivica Zubac,https://static.prizepicks.com/images/players/NBA/Ivica_Zubac_NBA_player_D6haTAv55SBuJmZtk3fQqBHe.webp,NBA,7.0,Ivica Zubac,C,LAC,league,7,team,214
9,projection,3973810,,2025-02-01T10:40:00-05:00,,CHI,,,NBA_game_wS8zkOoh5WTUcOggDnO30G2R,True,False,False,False,40.0,standard,Fantasy Score,350,True,2025-02-26T20:10:00-05:00,Fantasy Score,Fantasy Score,pre_game,True,,2025-02-26T11:29:23-05:00,duration,11,game,49654,league,7,new_player,3828,projection_type,1,,stat_type,14,stat_average,78076,,new_player,3828,False,Ivica Zubac,https://static.prizepicks.com/images/players/NBA/Ivica_Zubac_NBA_player_D6haTAv55SBuJmZtk3fQqBHe.webp,NBA,7.0,Ivica Zubac,C,LAC,league,7,team,214
10,projection,3969008,,2025-02-25T02:20:00-05:00,,CHI,,,NBA_game_wS8zkOoh5WTUcOggDnO30G2R,True,False,False,False,31.5,standard,Single Stat,350,True,2025-02-26T20:10:00-05:00,Pts+Rebs+Asts,Pts+Rebs+Asts,pre_game,True,,2025-02-26T19:37:32-05:00,duration,11,game,49654,league,7,new_player,3828,projection_type,2,,stat_type,106,stat_average,76475,,new_player,3828,False,Ivica Zubac,https://static.prizepicks.com/images/players/NBA/Ivica_Zubac_NBA_player_D6haTAv55SBuJmZtk3fQqBHe.webp,NBA,7.0,Ivica Zubac,C,LAC,league,7,team,214
11,projection,3969044,,2025-02-25T02:20:00-05:00,,CHI,,,NBA_game_wS8zkOoh5WTUcOggDnO30G2R,True,False,False,False,17.5,standard,Single Stat,350,True,2025-02-26T20:10:00-05:00,Pts+Asts,Pts+Asts,pre_game,True,,2025-02-26T19:37:59-05:00,duration,11,game,49654,league,7,new_player,3828,projection_type,2,,stat_type,244,stat_average,76524,,new_player,3828,False,Ivica Zubac,https://static.prizepicks.com/images/players/NBA/Ivica_Zubac_NBA_player_D6haTAv55SBuJmZtk3fQqBHe.webp,NBA,7.0,Ivica Zubac,C,LAC,league,7,team,214
12,projection,3968946,,2025-02-26T02:20:00-05:00,,CHI,,,NBA_game_wS8zkOoh5WTUcOggDnO30G2R,True,False,False,False,12.5,standard,Single Stat,350,True,2025-02-26T20:10:00-05:00,Rebounds,Rebounds,pre_game,True,,2025-02-26T11:08:49-05:00,duration,11,game,49654,league,7,new_player,3828,projection_type,2,,stat_type,22,stat_average,76446,,new_player,3828,False,Ivica Zubac,https://static.prizepicks.com/images/players/NBA/Ivica_Zubac_NBA_player_D6haTAv55SBuJmZtk3fQqBHe.webp,NBA,7.0,Ivica Zubac,C,LAC,league,7,team,214
13,projection,3975335,,2025-02-25T14:57:00-05:00,,CHI,,,NBA_game_wS8zkOoh5WTUcOggDnO30G2R,True,False,False,False,11.0,standard,Single Stat,350,True,2025-02-26T20:10:00-05:00,FG Attempted,FG Attempted,pre_game,True,,2025-02-26T14:59:35-05:00,duration,11,game,49654,league,7,new_player,3828,projection_type,2,,stat_type,386,stat_average,84661,,new_player,3828,False,Ivica Zubac,https://static.prizepicks.com/images/players/NBA/Ivica_Zubac_NBA_player_D6haTAv55SBuJmZtk3fQqBHe.webp,NBA,7.0,Ivica Zubac,C,LAC,league,7,team,214
14,projection,3968947,,2025-02-26T02:20:00-05:00,,LAC,,,NBA_game_wS8zkOoh5WTUcOggDnO30G2R,True,False,False,False,3.5,standard,Single Stat,351,True,2025-02-26T20:10:00-05:00,Rebounds,Rebounds,pre_game,True,,2025-02-26T16:56:02-05:00,duration,11,game,49654,league,7,new_player,10731,projection_type,2,,stat_type,22,stat_average,76117,,new_player,10731,False,Coby White,https://static.prizepicks.com/images/players/NBA/Coby_White_NBA_player_jFaNrHRlDcfSWrHVDpYBzHCB.webp,NBA,7.0,Coby White,G,CHI,league,7,team,204
15,projection,3969036,,2025-02-25T10:30:00-05:00,,LAC,,,NBA_game_wS8zkOoh5WTUcOggDnO30G2R,True,False,False,False,23.5,standard,Single Stat,351,True,2025-02-26T20:10:00-05:00,Pts+Rebs,Pts+Rebs,pre_game,True,,2025-02-26T15:18:36-05:00,duration,11,game,49654,league,7,new_player,10731,projection_type,2,,stat_type,243,stat_average,75927,,new_player,10731,False,Coby White,https://static.prizepicks.com/images/players/NBA/Coby_White_NBA_player_jFaNrHRlDcfSWrHVDpYBzHCB.webp,NBA,7.0,Coby White,G,CHI,league,7,team,204
16,projection,3969009,,2025-02-25T10:30:00-05:00,,LAC,,,NBA_game_wS8zkOoh5WTUcOggDnO30G2R,True,False,False,False,27.5,standard,Single Stat,351,True,2025-02-26T20:10:00-05:00,Pts+Rebs+Asts,Pts+Rebs+Asts,pre_game,True,,2025-02-26T19:37:28-05:00,duration,11,game,49654,league,7,new_player,10731,projection_type,2,,stat_type,106,stat_average,75921,,new_player,10731,False,Coby White,https://static.prizepicks.com/images/players/NBA/Coby_White_NBA_player_jFaNrHRlDcfSWrHVDpYBzHCB.webp,NBA,7.0,Coby White,G,CHI,league,7,team,204
17,projection,3975336,,2025-02-25T10:30:00-05:00,,LAC,,,NBA_game_wS8zkOoh5WTUcOggDnO30G2R,True,False,False,False,15.5,standard,Single Stat,351,True,2025-02-26T20:10:00-05:00,FG Attempted,FG Attempted,pre_game,True,,2025-02-26T15:18:35-05:00,duration,11,game,49654,league,7,new_player,10731,projection_type,2,,stat_type,386,stat_average,85280,,new_player,10731,False,Coby White,https://static.prizepicks.com/images/players/NBA/Coby_White_NBA_player_jFaNrHRlDcfSWrHVDpYBzHCB.webp,NBA,7.0,Coby White,G,CHI,league,7,team,204
18,projection,3975339,,2025-02-25T10:30:00-05:00,,LAC,,,NBA_game_wS8zkOoh5WTUcOggDnO30G2R,True,False,False,False,8.0,standard,Single Stat,351,True,2025-02-26T20:10:00-05:00,3-PT Attempted,3-PT Attempted,pre_game,True,,2025-02-26T15:18:35-05:00,duration,11,game,49654,league,7,new_player,10731,projection_type,2,,stat_type,392,stat_average,85288,,new_player,10731,False,Coby White,https://static.prizepicks.com/images/players/NBA/Coby_White_NBA_player_jFaNrHRlDcfSWrHVDpYBzHCB.webp,NBA,7.0,Coby White,G,CHI,league,7,team,204
19,projection,3969054,,2025-02-25T10:30:00-05:00,,LAC,,,NBA_game_wS8zkOoh5WTUcOggDnO30G2R,True,False,False,False,8.5,standard,Single Stat,351,True,2025-02-26T20:10:00-05:00,Rebs+Asts,Rebs+Asts,pre_game,True,,2025-02-26T15:18:35-05:00,duration,11,game,49654,league,7,new_player,10731,projection_type,2,,stat_type,245,stat_average,75929,,new_player,10731,False,Coby White,https://static.prizepicks.com/images/players/NBA/Coby_White_NBA_player_jFaNrHRlDcfSWrHVDpYBzHCB.webp,NBA,7.0,Coby White,G,CHI,league,7,team,204
20,projection,3968956,,2025-02-25T10:30:00-05:00,,LAC,,,NBA_game_wS8zkOoh5WTUcOggDnO30G2R,True,False,False,False,5.0,standard,Single Stat,351,True,2025-02-26T20:10:00-05:00,Assists,Assists,pre_game,True,,2025-02-26T18:29:05-05:00,duration,11,game,49654,league,7,new_player,10731,projection_type,2,,stat_type,20,stat_average,76121,,new_player,10731,False,Coby White,https://static.prizepicks.com/images/players/NBA/Coby_White_NBA_player_jFaNrHRlDcfSWrHVDpYBzHCB.webp,NBA,7.0,Coby White,G,CHI,league,7,team,204
21,projection,3975321,,2025-02-25T10:30:00-05:00,,LAC,,,NBA_game_wS8zkOoh5WTUcOggDnO30G2R,True,False,False,False,3.0,standard,Single Stat,351,True,2025-02-26T20:10:00-05:00,Free Throws Made,Free Throws Made,pre_game,True,,2025-02-26T15:18:36-05:00,duration,11,game,49654,league,7,new_player,10731,projection_type,2,,stat_type,68,stat_average,85275,,new_player,10731,False,Coby White,https://static.prizepicks.com/images/players/NBA/Coby_White_NBA_player_jFaNrHRlDcfSWrHVDpYBzHCB.webp,NBA,7.0,Coby White,G,CHI,league,7,team,204
22,projection,3973811,,2025-02-25T10:30:00-05:00,,LAC,,,NBA_game_wS8zkOoh5WTUcOggDnO30G2R,True,False,False,False,31.5,standard,Fantasy Score,351,True,2025-02-26T20:10:00-05:00,Fantasy Score,Fantasy Score,pre_game,True,,2025-02-26T15:18:35-05:00,duration,11,game,49654,league,7,new_player,10731,projection_type,1,,stat_type,14,stat_average,78622,,new_player,10731,False,Coby White,https://static.prizepicks.com/images/players/NBA/Coby_White_NBA_player_jFaNrHRlDcfSWrHVDpYBzHCB.webp,NBA,7.0,Coby White,G,CHI,league,7,team,204
23,projection,3968914,,2025-02-25T10:30:00-05:00,,LAC,,,NBA_game_wS8zkOoh5WTUcOggDnO30G2R,True,False,False,False,19.0,standard,Single Stat,351,True,2025-02-26T20:10:00-05:00,Points,Points,pre_game,True,,2025-02-26T16:41:22-05:00,duration,11,game,49654,league,7,new_player,10731,projection_type,2,,stat_type,19,stat_average,69042,,new_player,10731,False,Coby White,https://static.prizepicks.com/images/players/NBA/Coby_White_NBA_player_jFaNrHRlDcfSWrHVDpYBzHCB.webp,NBA,7.0,Coby White,G,CHI,league,7,team,204
24,projection,3969045,,2025-02-25T10:30:00-05:00,,LAC,,,NBA_game_wS8zkOoh5WTUcOggDnO30G2R,True,False,False,False,24.5,standard,Single Stat,351,True,2025-02-26T20:10:00-05:00,Pts+Asts,Pts+Asts,pre_game,True,,2025-02-26T18:36:53-05:00,duration,11,game,49654,league,7,new_player,10731,projection_type,2,,stat_type,244,stat_average,75928,,new_player,10731,False,Coby White,https://static.prizepicks.com/images/players/NBA/Coby_White_NBA_player_jFaNrHRlDcfSWrHVDpYBzHCB.webp,NBA,7.0,Coby White,G,CHI,league,7,team,204
25,projection,3975326,,2025-02-25T10:30:00-05:00,,LAC,,,NBA_game_wS8zkOoh5WTUcOggDnO30G2R,True,False,False,False,6.5,standard,Single Stat,351,True,2025-02-26T20:10:00-05:00,FG Made,FG Made,pre_game,True,,2025-02-26T18:36:44-05:00,duration,11,game,49654,league,7,new_player,10731,projection_type,2,,stat_type,117,stat_average,96698,,new_player,10731,False,Coby White,https://static.prizepicks.com/images/players/NBA/Coby_White_NBA_player_jFaNrHRlDcfSWrHVDpYBzHCB.webp,NBA,7.0,Coby White,G,CHI,league,7,team,204
26,projection,3968948,,2025-02-25T02:20:00-05:00,,CHI,,,NBA_game_wS8zkOoh5WTUcOggDnO30G2R,True,False,False,False,5.5,standard,Single Stat,352,True,2025-02-26T20:10:00-05:00,Rebounds,Rebounds,pre_game,True,,2025-02-26T08:49:57-05:00,duration,11,game,49654,league,7,new_player,175245,projection_type,2,,stat_type,22,stat_average,76447,8419.0,new_player,175245,False,James Harden,https://static.prizepicks.com/images/players/NBA/James_Harden_NBA_player_zZjtn2hWhuFYAQvDf5IMSWZ0.webp,NBA,7.0,James Harden,G,LAC,league,7,team,214
27,projection,3969046,,2025-02-25T02:20:00-05:00,,CHI,,,NBA_game_wS8zkOoh5WTUcOggDnO30G2R,True,False,False,False,33.5,standard,Single Stat,352,True,2025-02-26T20:10:00-05:00,Pts+Asts,Pts+Asts,pre_game,True,,2025-02-26T13:01:54-05:00,duration,11,game,49654,league,7,new_player,175245,projection_type,2,,stat_type,244,stat_average,76525,,new_player,175245,False,James Harden,https://static.prizepicks.com/images/players/NBA/James_Harden_NBA_player_zZjtn2hWhuFYAQvDf5IMSWZ0.webp,NBA,7.0,James Harden,G,LAC,league,7,team,214
28,projection,3969055,,2025-02-25T02:20:00-05:00,,CHI,,,NBA_game_wS8zkOoh5WTUcOggDnO30G2R,True,False,False,False,15.0,standard,Single Stat,352,True,2025-02-26T20:10:00-05:00,Rebs+Asts,Rebs+Asts,pre_game,True,,2025-02-26T19:15:20-05:00,duration,11,game,49654,league,7,new_player,175245,projection_type,2,,stat_type,245,stat_average,76536,45434.0,new_player,175245,False,James Harden,https://static.prizepicks.com/images/players/NBA/James_Harden_NBA_player_zZjtn2hWhuFYAQvDf5IMSWZ0.webp,NBA,7.0,James Harden,G,LAC,league,7,team,214
29,projection,3968915,,2025-02-25T02:20:00-05:00,,CHI,,,NBA_game_wS8zkOoh5WTUcOggDnO30G2R,True,False,False,False,24.0,standard,Single Stat,352,True,2025-02-26T20:10:00-05:00,Points,Points,pre_game,True,,2025-02-26T16:54:14-05:00,duration,11,game,49654,league,7,new_player,175245,projection_type,2,,stat_type,19,stat_average,76395,,new_player,175245,False,James Harden,https://static.prizepicks.com/images/players/NBA/James_Harden_NBA_player_zZjtn2hWhuFYAQvDf5IMSWZ0.webp,NBA,7.0,James Harden,G,LAC,league,7,team,214
30,projection,3969037,,2025-02-25T02:20:00-05:00,,CHI,,,NBA_game_wS8zkOoh5WTUcOggDnO30G2R,True,False,False,False,29.5,standard,Single Stat,352,True,2025-02-26T20:10:00-05:00,Pts+Rebs,Pts+Rebs,pre_game,True,,2025-02-26T13:57:22-05:00,duration,11,game,49654,league,7,new_player,175245,projection_type,2,,stat_type,243,stat_average,76506,,new_player,175245,False,James Harden,https://static.prizepicks.com/images/players/NBA/James_Harden_NBA_player_zZjtn2hWhuFYAQvDf5IMSWZ0.webp,NBA,7.0,James Harden,G,LAC,league,7,team,214
31,projection,3975322,,2025-02-25T14:57:00-05:00,,CHI,,,NBA_game_wS8zkOoh5WTUcOggDnO30G2R,True,False,False,False,6.0,standard,Single Stat,352,True,2025-02-26T20:10:00-05:00,Free Throws Made,Free Throws Made,pre_game,True,,2025-02-26T14:59:56-05:00,duration,11,game,49654,league,7,new_player,175245,projection_type,2,,stat_type,68,stat_average,84652,,new_player,175245,False,James Harden,https://static.prizepicks.com/images/players/NBA/James_Harden_NBA_player_zZjtn2hWhuFYAQvDf5IMSWZ0.webp,NBA,7.0,James Harden,G,LAC,league,7,team,214
32,projection,3969010,,2025-02-25T02:20:00-05:00,,CHI,,,NBA_game_wS8zkOoh5WTUcOggDnO30G2R,True,False,False,False,39.5,standard,Single Stat,352,True,2025-02-26T20:10:00-05:00,Pts+Rebs+Asts,Pts+Rebs+Asts,pre_game,True,,2025-02-26T19:45:23-05:00,duration,11,game,49654,league,7,new_player,175245,projection_type,2,,stat_type,106,stat_average,76476,,new_player,175245,False,James Harden,https://static.prizepicks.com/images/players/NBA/James_Harden_NBA_player_zZjtn2hWhuFYAQvDf5IMSWZ0.webp,NBA,7.0,James Harden,G,LAC,league,7,team,214
33,projection,3975327,,2025-02-25T14:57:00-05:00,,CHI,,,NBA_game_wS8zkOoh5WTUcOggDnO30G2R,True,False,False,False,7.5,standard,Single Stat,352,True,2025-02-26T20:10:00-05:00,FG Made,FG Made,pre_game,True,,2025-02-26T19:37:59-05:00,duration,11,game,49654,league,7,new_player,175245,projection_type,2,,stat_type,117,stat_average,95398,,new_player,175245,False,James Harden,https://static.prizepicks.com/images/players/NBA/James_Harden_NBA_player_zZjtn2hWhuFYAQvDf5IMSWZ0.webp,NBA,7.0,James Harden,G,LAC,league,7,team,214
34,projection,3975340,,2025-02-25T14:57:00-05:00,,CHI,,,NBA_game_wS8zkOoh5WTUcOggDnO30G2R,True,False,False,False,9.5,standard,Single Stat,352,True,2025-02-26T20:10:00-05:00,3-PT Attempted,3-PT Attempted,pre_game,True,,2025-02-26T14:59:26-05:00,duration,11,game,49654,league,7,new_player,175245,projection_type,2,,stat_type,392,stat_average,84664,,new_player,175245,False,James Harden,https://static.prizepicks.com/images/players/NBA/James_Harden_NBA_player_zZjtn2hWhuFYAQvDf5IMSWZ0.webp,NBA,7.0,James Harden,G,LAC,league,7,team,214
35,projection,3975337,,2025-02-25T14:57:00-05:00,,CHI,,,NBA_game_wS8zkOoh5WTUcOggDnO30G2R,True,False,False,False,18.0,standard,Single Stat,352,True,2025-02-26T20:10:00-05:00,FG Attempted,FG Attempted,pre_game,True,,2025-02-26T15:02:08-05:00,duration,11,game,49654,league,7,new_player,175245,projection_type,2,,stat_type,386,stat_average,84658,,new_player,175245,False,James Harden,https://static.prizepicks.com/images/players/NBA/James_Harden_NBA_player_zZjtn2hWhuFYAQvDf5IMSWZ0.webp,NBA,7.0,James Harden,G,LAC,league,7,team,214
36,projection,3968957,,2025-02-25T02:20:00-05:00,,CHI,,,NBA_game_wS8zkOoh5WTUcOggDnO30G2R,True,False,False,False,9.0,standard,Single Stat,352,True,2025-02-26T20:10:00-05:00,Assists,Assists,pre_game,True,,2025-02-26T16:45:32-05:00,duration,11,game,49654,league,7,new_player,175245,projection_type,2,,stat_type,20,stat_average,76457,,new_player,175245,False,James Harden,https://static.prizepicks.com/images/players/NBA/James_Harden_NBA_player_zZjtn2hWhuFYAQvDf5IMSWZ0.webp,NBA,7.0,James Harden,G,LAC,league,7,team,214
37,projection,3973812,,2025-02-01T10:40:00-05:00,,CHI,,,NBA_game_wS8zkOoh5WTUcOggDnO30G2R,True,False,False,False,48.0,standard,Fantasy Score,352,True,2025-02-26T20:10:00-05:00,Fantasy Score,Fantasy Score,pre_game,True,,2025-02-26T11:30:24-05:00,duration,11,game,49654,league,7,new_player,175245,projection_type,1,,stat_type,14,stat_average,78077,,new_player,175245,False,James Harden,https://static.prizepicks.com/images/players/NBA/James_Harden_NBA_player_zZjtn2hWhuFYAQvDf5IMSWZ0.webp,NBA,7.0,James Harden,G,LAC,league,7,team,214
38,projection,3975328,,2025-02-25T10:30:00-05:00,,LAC,,,NBA_game_wS8zkOoh5WTUcOggDnO30G2R,True,False,False,False,6.0,standard,Single Stat,353,True,2025-02-26T20:10:00-05:00,FG Made,FG Made,pre_game,True,,2025-02-26T15:18:36-05:00,duration,11,game,49654,league,7,new_player,216747,projection_type,2,,stat_type,117,stat_average,96701,,new_player,216747,False,Josh Giddey,https://static.prizepicks.com/images/players/NBA/Josh_Giddey_NBA_player_Eo2a2f7DY9A2ZP7U05U3zq8h.webp,NBA,7.0,Josh Giddey,G,CHI,league,7,team,204
39,projection,3969047,,2025-02-25T10:30:00-05:00,,LAC,,,NBA_game_wS8zkOoh5WTUcOggDnO30G2R,True,False,False,False,23.5,standard,Single Stat,353,True,2025-02-26T20:10:00-05:00,Pts+Asts,Pts+Asts,pre_game,True,,2025-02-26T18:36:44-05:00,duration,11,game,49654,league,7,new_player,216747,projection_type,2,,stat_type,244,stat_average,75941,,new_player,216747,False,Josh Giddey,https://static.prizepicks.com/images/players/NBA/Josh_Giddey_NBA_player_Eo2a2f7DY9A2ZP7U05U3zq8h.webp,NBA,7.0,Josh Giddey,G,CHI,league,7,team,204
40,projection,3969062,,2025-02-25T10:30:00-05:00,,LAC,,,NBA_game_wS8zkOoh5WTUcOggDnO30G2R,True,False,False,False,0.5,standard,Single Stat,353,True,2025-02-26T20:10:00-05:00,Blocked Shots,Blocked Shots,pre_game,True,,2025-02-26T15:18:36-05:00,duration,11,game,49654,league,7,new_player,216747,projection_type,2,,stat_type,21,stat_average,75938,,new_player,216747,False,Josh Giddey,https://static.prizepicks.com/images/players/NBA/Josh_Giddey_NBA_player_Eo2a2f7DY9A2ZP7U05U3zq8h.webp,NBA,7.0,Josh Giddey,G,CHI,league,7,team,204
41,projection,3969038,,2025-02-25T10:30:00-05:00,,LAC,,,NBA_game_wS8zkOoh5WTUcOggDnO30G2R,True,False,False,False,25.5,standard,Single Stat,353,True,2025-02-26T20:10:00-05:00,Pts+Rebs,Pts+Rebs,pre_game,True,,2025-02-26T15:18:36-05:00,duration,11,game,49654,league,7,new_player,216747,projection_type,2,,stat_type,243,stat_average,75940,,new_player,216747,False,Josh Giddey,https://static.prizepicks.com/images/players/NBA/Josh_Giddey_NBA_player_Eo2a2f7DY9A2ZP7U05U3zq8h.webp,NBA,7.0,Josh Giddey,G,CHI,league,7,team,204
42,projection,3968949,,2025-02-25T10:30:00-05:00,,LAC,,,NBA_game_wS8zkOoh5WTUcOggDnO30G2R,True,False,False,False,8.5,standard,Single Stat,353,True,2025-02-26T20:10:00-05:00,Rebounds,Rebounds,pre_game,True,,2025-02-26T15:18:36-05:00,duration,11,game,49654,league,7,new_player,216747,projection_type,2,,stat_type,22,stat_average,75939,,new_player,216747,False,Josh Giddey,https://static.prizepicks.com/images/players/NBA/Josh_Giddey_NBA_player_Eo2a2f7DY9A2ZP7U05U3zq8h.webp,NBA,7.0,Josh Giddey,G,CHI,league,7,team,204
43,projection,3969056,,2025-02-25T10:30:00-05:00,,LAC,,,NBA_game_wS8zkOoh5WTUcOggDnO30G2R,True,False,False,False,15.0,standard,Single Stat,353,True,2025-02-26T20:10:00-05:00,Rebs+Asts,Rebs+Asts,pre_game,True,,2025-02-26T19:27:07-05:00,duration,11,game,49654,league,7,new_player,216747,projection_type,2,,stat_type,245,stat_average,75942,27130.0,new_player,216747,False,Josh Giddey,https://static.prizepicks.com/images/players/NBA/Josh_Giddey_NBA_player_Eo2a2f7DY9A2ZP7U05U3zq8h.webp,NBA,7.0,Josh Giddey,G,CHI,league,7,team,204
44,projection,3973813,,2025-02-25T10:30:00-05:00,,LAC,,,NBA_game_wS8zkOoh5WTUcOggDnO30G2R,True,False,False,False,38.5,standard,Fantasy Score,353,True,2025-02-26T20:10:00-05:00,Fantasy Score,Fantasy Score,pre_game,True,,2025-02-26T15:18:36-05:00,duration,11,game,49654,league,7,new_player,216747,projection_type,1,,stat_type,14,stat_average,78624,,new_player,216747,False,Josh Giddey,https://static.prizepicks.com/images/players/NBA/Josh_Giddey_NBA_player_Eo2a2f7DY9A2ZP7U05U3zq8h.webp,NBA,7.0,Josh Giddey,G,CHI,league,7,team,204
